county_id,age_group,headship_rate
53033,ages_0_4,0.0
53033,ages_5_9,0.0
53033,ages_10_14,0.0
53033,ages_15_19,0.02317807784235732
53033,ages_20_24,0.27898977598899316
53033,ages_25_29,0.46071342677166965
53033,ages_30_34,0.5305324498331688
53033,ages_35_39,0.5387999958195291
53033,ages_40_44,0.5398487634402055
53033,ages_45_49,0.5628358714043993
53033,ages_50_54,0.5616830634597698
53033,ages_55_59,0.5704264849374218
53033,ages_60_64,0.5832553900760247
53033,ages_65_69,0.5845468082226218
53033,ages_70_74,0.60836478376539
53033,ages_75_79,0.6208604697059404
53033,ages_80_84,0.6657674055775856
53033,ages_85_plus,0.6746331736063573
53035,ages_0_4,0.0
53035,ages_5_9,0.0
53035,ages_10_14,0.0
53035,ages_15_19,0.016975637474252434
53035,ages_20_24,0.25486393493900533
53035,ages_25_29,0.40180610338384887
53035,ages_30_34,0.45305176150395643
53035,ages_35_39,0.5095346639239451
53035,ages_40_44,0.511520737327189
53035,ages_45_49,0.519365597985161
53035,ages_50_54,0.5063886593350709
53035,ages_55_59,0.5698779596198189
53035,ages_60_64,0.5804403048264183
53035,ages_65_69,0.6059897051941975
53035,ages_70_74,0.5898463593854375
53035,ages_75_79,0.5952599856982327
53035,ages_80_84,0.6619664634146342
53035,ages_85_plus,0.6575505350772889
53053,ages_0_4,0.0
53053,ages_5_9,0.0
53053,ages_10_14,0.0
53053,ages_15_19,0.014931304644033156
53053,ages_20_24,0.24419137738167282
53053,ages_25_29,0.4310553439390544
53053,ages_30_34,0.4797200061475696
53053,ages_35_39,0.5179568915436521
53053,ages_40_44,0.5025016967343782
53053,ages_45_49,0.5377781124120017
53053,ages_50_54,0.5461009631954143
53053,ages_55_59,0.5849939384755266
53053,ages_60_64,0.5958075881238603
53053,ages_65_69,0.5841316523581948
53053,ages_70_74,0.6098877801961726
53053,ages_75_79,0.619665183301547
53053,ages_80_84,0.6428849295884229
53053,ages_85_plus,0.6841750274007251
53061,ages_0_4,0.0
53061,ages_5_9,0.0
53061,ages_10_14,0.0
53061,ages_15_19,0.01528826283159715
53061,ages_20_24,0.16832375154999438
53061,ages_25_29,0.34502849443766725
53061,ages_30_34,0.47213313161875947
53061,ages_35_39,0.49752464005086977
53061,ages_40_44,0.5219084872789429
53061,ages_45_49,0.5566071801889123
53061,ages_50_54,0.5424356303021283
53061,ages_55_59,0.5653475287476083
53061,ages_60_64,0.5676280687473406
53061,ages_65_69,0.5663805595808717
53061,ages_70_74,0.6207497820401047
53061,ages_75_79,0.629516694618082
53061,ages_80_84,0.6219653179190752
53061,ages_85_plus,0.6265483615918475
