target_id,total_pop_chg,total_pop_chg_adj,county_id,rgid,dec_total_pop,dec_units,dec_hh,dec_gq,dec_hhpop,dec_hhpop_by_target,dec_hh_by_target,dec_hhsz_by_target,dec_hhsz,total_pop_2044,dec_gq_pct,gq_2044,hhpop_2044,hhsz_2044,hh_2044,units_chg,units_chg_adj,king_hhsz,vacancy_rate,units_2044,dec_hhsz_by_rgid,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,start,emp_chg,emp_chg_adj,control_id_2020,control_name_2020,Emp_TotNoMil_2020,Emp_ConRes_2020,TotEmpNoMil-ResCon_2020,Emp_Military_2020,Emp_Total_2020,emp_2044,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
11,,,53033,2,106920,43398,41467,571,106349,106349,41467,2.564665878891649,2.564665878891649,140713,0.006703294123171562,672,140041,2.4631777511197854,57310,17000.0,16550.0,2.52,4.4,59948.0,2.6238293244849378,141165.0,974246.0,966487.0,0.9920358923721524,2019,31780.0,32809.26087872837,11,Renton,71872,3829,68043,0,71872,104681.26087872837,660.125,61271,1408.0416666666667,149161,1367.052536613682,112884,688,149849,2.445675768308009
12,,,53033,2,31454,11774,11093,1050,30404,30404,11093,2.7408275489047145,2.7408275489047145,43104,0.012326547862224414,1235,41869,2.632368408564728,16033,5900.0,4997.0,2.52,4.4,16771.0,2.6238293244849378,42205.0,974246.0,966487.0,0.9920358923721524,2019,14810.0,13363.340459104375,12,SeaTac,39883,1094,38789,0,39883,53246.34045910437,205.83333333333334,17268,485.4166666666667,46016,556.8058524626822,56587,1264,47280,2.738012508686588
13,,,53033,2,21798,8742,8168,274,21524,21524,8168,2.6351616062683645,2.6351616062683645,36185,0.003216642013570942,322,35863,2.5308838443978594,14284,6500.0,6199.0,2.52,4.4,14941.0,2.6238293244849378,36151.0,974246.0,966487.0,0.9920358923721524,2019,15890.0,17587.181216263383,13,Tukwila,46576,3297,43279,0,46576,64163.18121626339,254.83333333333334,15813,599.4583333333334,39782,732.7992173443077,68560,330,40112,2.536647062543477
14,,,53033,3,32880,13220,12421,757,32123,32123,12421,2.586184687223251,2.586184687223251,40798,0.008886854030194173,891,39907,2.489077348666807,16096,3800.0,3477.0,2.51,3.6,16697.0,2.6079236020556875,40064.0,329756.0,328466.0,0.9960880165940877,2019,2380.0,2594.5810976173325,14,Des Moines,7833,726,7107,0,7833,10427.581097617332,153.125,17015,329.9166666666667,42778,108.10754573405552,11076,912,43690,2.5677343520423155
15,,,53033,3,24987,8597,8325,86,24901,24901,8325,2.991111111111111,2.991111111111111,26428,0.0010096029677631425,101,26327,2.8787993954159457,9181,1020.0,927.0,2.51,3.6,9524.0,2.6079236020556875,26430.0,329756.0,328466.0,0.9960880165940877,2019,720.0,921.0500792023843,15,Federal Way PAA,2289,465,1824,0,2289,3210.050079202384,35.666666666666664,9395,60.041666666666664,26788,38.37708663343267,3440,104,26892,2.8623736029803086
16,,,53033,3,23914,9589,9270,206,23708,23708,9270,2.557497303128371,2.557497303128371,29916,0.002418351294874504,242,29674,2.461467132623135,12103,3070.0,2966.0,2.51,3.6,12555.0,2.6079236020556875,29791.0,329756.0,328466.0,0.9960880165940877,2019,3200.0,3571.587842335768,16,Kenmore,4698,753,3945,0,4698,8269.587842335768,118.04166666666667,12811,250.08333333333334,31416,148.81616009732366,9162,248,31664,2.4716259464522676
17,,,53033,3,13630,5565,5332,39,13591,13591,5332,2.5489497374343584,2.5489497374343584,15040,0.0004578432063111925,46,14994,2.45324051514283,6136,870.0,800.0,2.51,3.6,6365.0,2.6079236020556875,15053.0,329756.0,328466.0,0.9960880165940877,2019,550.0,599.5706777894235,17,Lake Forest Park,1960,240,1720,0,1960,2559.5706777894234,33.5,6337,58.75,15392,24.98211157455931,2709,47,15439,2.43632633738362
18,,,53033,3,25748,10570,9927,164,25584,25584,9927,2.5772136597159263,2.5772136597159263,28164,0.0019252893803855275,193,27971,2.480443169726275,11321,1239.0,1174.0,2.51,3.6,11744.0,2.6079236020556875,28081.0,329756.0,328466.0,0.9960880165940877,2019,1300.0,872.9799825307206,18,Mercer Island,8599,561,8038,0,8599,9471.97998253072,58.083333333333336,11670,100.66666666666667,28768,36.37416593878,9690,197,28965,2.482005141388175
19,,,53033,3,13017,5471,5132,32,12985,12985,5132,2.530202650038971,2.530202650038971,15669,0.00037566622056302973,38,15631,2.4351973526340314,6444,1480.0,1214.0,2.51,3.6,6685.0,2.6079236020556875,15692.0,329756.0,328466.0,0.9960880165940877,2019,500.0,798.7879627343124,19,Newcastle,2969,151,2818,0,2969,3767.7879627343123,54.666666666666664,6772,110.5,16332,33.28283178059635,3967,39,16371,2.4174542232722978
20,,,53033,3,20808,7958,7595,240,20568,20568,7595,2.7080974325213956,2.7080974325213956,23128,0.002817496654222723,282,22846,2.6064124540576006,8800,1420.0,1171.0,2.51,3.6,9129.0,2.6079236020556875,22936.0,329756.0,328466.0,0.9960880165940877,2019,1220.0,2173.123149086876,20,North Highline,6290,597,5693,0,6290,8463.123149086876,50.208333333333336,9101,96.66666666666667,23708,90.54679787861983,9006,289,23997,2.636743215031315
22,,,53033,3,7657,2691,2640,18,7639,7639,2640,2.893560606060606,2.893560606060606,7588,0.00021131224906670423,21,7567,2.7849117648566133,2728,170.0,139.0,2.51,3.6,2830.0,2.6079236020556875,7597.0,329756.0,328466.0,0.9960880165940877,2019,0.0,22.0,22,Renton PAA - East Renton,849,140,709,0,849,871.0,3.6666666666666665,2750,-2.875,7571,0.9166666666666666,876,22,7593,2.761090909090909
23,,,53033,3,23966,8926,8736,139,23827,23827,8736,2.7274496336996337,2.7274496336996337,24361,0.0016318001455706604,164,24197,2.6250380092383927,9254,840.0,674.0,2.51,3.6,9600.0,2.6079236020556875,24292.0,329756.0,328466.0,0.9960880165940877,2019,100.0,82.00191503945389,23,Renton PAA - Fairwood,3000,283,2717,0,3000,3082.0019150394537,21.583333333333332,9384,16.458333333333332,24460,3.416746459977238,3103,167,24627,2.6243606138107416
