Category,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"Employment - Administrative, support, waste management, and remediation services",United States,9603499.603,9614299.622,9751400.391,10173999.82,10403499.6,10791500,11060500.18,10756899.99,10089999.82,10397199.62,10745599.61,11033400.21,11366899.81,11719199.8,11770599.61,12034599.79,12213600.01,12458799.62,12617599.79,11863500.4,12497000,13276999.82,13278999.63,13211471.21,13501010.61,13606820.56,13646824.77,13683230.4,13731485.26,13782458.91,13834600.65,13883653.21,13923683.64,13971580.82,14019496.01,14065275.64,14110576.31,14156760.3,14201752.61,14242512.9,14281594.43,14318398.06,14352969.69,14385105.01,14416024.42,14445850.79,14474170.37,14500157.71,14522977.22,14544175.05,14564869.33,14586025.4,14607493.56,14628319.04,14648793.95,14669133.8,14689577.02,14710025.17,14730236.73,14749691.44
Employment - Educational services; private,United States,3011300.049,3176600.098,3286800.049,3391300.049,3525800.049,3659500,3731800.049,3848300.049,3976199.951,4095899.902,4128600.098,4206200.195,4339100.098,4498100.098,4608899.902,4639799.805,4727399.902,4764700.195,4924000,4531500,4598700.195,4768000,4970000,5018703.205,5114187.696,5151803.309,5157853.253,5184233.725,5216867.984,5247863.475,5279328.425,5304569.928,5326040.333,5351215.5,5375294.8,5397307.055,5419847.832,5443094.488,5465727.574,5486034.19,5505611.453,5524109.309,5540737.563,5556027.554,5570410.496,5584078.48,5596832.831,5608327.839,5618168.189,5626857.088,5635209.433,5643419.897,5651235.204,5658731.959,5665672.529,5672296.418,5678678.989,5684786.195,5690527.608,5695707.425
Employment - Health care and social assistance,United States,15253400.15,15731000.24,16196100.34,16510600.1,16836300.05,17360899.66,18004300.05,18433899.9,18731699.95,19081900.15,19405200.2,20097500,20499199.71,20798400.39,21351099.85,21816100.59,22215299.56,22643000,23118400.39,22524100.1,22990399.9,23737000.24,24895000.24,25462057,26216305.48,26674254.89,26873433.57,27034774.13,27251561.83,27495247.33,27760953.61,27997192.19,28202105.1,28419431.92,28621105.16,28796025.47,28958789.57,29111254.26,29253131.06,29403148.34,29549517.51,29693394.57,29825828.29,29970587.72,30109552.08,30245993.68,30378022.43,30503187.53,30629022.06,30762089.71,30899869.17,31035885.86,31165652.11,31304624.21,31434972.24,31567706.63,31700482.79,31833097.71,31965097.95,32095298.62
"Employment - Arts, entertainment, and recreation",United States,3165099.976,3265199.905,3288799.973,3386699.951,3457300.003,3545399.979,3704100.067,3791800.049,3744099.976,3786400.024,3870300.018,3978899.994,4043800.003,4223299.957,4220099.93,4363100.006,4518599.899,4673399.994,4656900.146,3853000,4151699.921,4665000.046,4947000.046,4976821.407,5095976.194,5164151.884,5185029.375,5221198.802,5265164.363,5308651.992,5353035.754,5392459.058,5429536.781,5466846.842,5502242.432,5533620.905,5564410.135,5594681.89,5623422.832,5649919.179,5676053.563,5701535.609,5725053.685,5747683.297,5769517.27,5790893.02,5811549.397,5831073.677,5849100.516,5866071.343,5883220.856,5900358.705,5916877.459,5933851.684,5950037.825,5966227.791,5982362.481,5998405.994,6014257.658,6029706.785
Employment - Accommodation and food services,United States,10806199.95,10921199.95,11147699.95,11423800.42,11675100.34,11980199.59,12237000.24,12293099.61,11938500,11975299.56,12328399.66,12664500.37,13099199.83,13548900.15,13977699.95,14398999.51,14788399.9,15021899.9,15255800.29,12382899.66,13459100.22,14829999.63,15441000,15009522.68,15369022.87,15488497.05,15498954.22,15560396.86,15653291.73,15745457.23,15844514.87,15927347.23,16005851.91,16089952.88,16173991.32,16252025.71,16341237.65,16436839.13,16529113.21,16617038.26,16707512.63,16798197.23,16882509.75,16968184.28,17052541.7,17137551.54,17221817.49,17303931.62,17383046.09,17460225.5,17540739.23,17621257,17699551.81,17783514.26,17863655.74,17945934.72,18029000.37,18112743.6,18196827.82,18280604.73
Employment - Other services (except public administration),United States,9075600.098,9431100.098,9522399.902,9697000,9783500,9927799.805,10162199.95,10090100.1,9913699.951,9745800.049,10188100.1,10374699.95,10512500.24,10862000,11174199.95,11091600.34,11065500,11526300.05,11578299.81,10850799.81,11191100.1,11750000.24,12142999.76,12367047.79,12716260.84,12734825.11,12809101.17,12864694.73,12947030.6,13029891.83,13118543.4,13194468.43,13265980.3,13351196.06,13428842.06,13494063.57,13559243.57,13622007.13,13679504.87,13732881.08,13787761.3,13845275.63,13898419.44,13951930.12,14004337.48,14057178.41,14109379.29,14159828.2,14207716.43,14253867.14,14304218.59,14353260.11,14400628.73,14452417.48,14501467.86,14552243.41,14603815.54,14656097.32,14708841.36,14761529.59
Employment - State and Local Government,United States,18351000,18662000,18744000,18840000,19008000,19164000,19407000,19693000,19706000,19537000,19292000,19173000,19197000,19288000,19382000,19538000,19651000,19792000,19949000,19236000,19140000,19409000,19921000,19813106.76,19881367.82,19961683.45,19949014.74,19978521.55,20007761.47,20050867.34,20108741.62,20155409.07,20185184.02,20223184.78,20264497.1,20321564.46,20360971.66,20399378.66,20439653.63,20474425.9,20499942.48,20517884.37,20541182.48,20552746.97,20564205.4,20571642.57,20576307.4,20577794.59,20573953.8,20568298.01,20554725.66,20543869.97,20539887.86,20522684.33,20512652.84,20498631.38,20484118.76,20468912.08,20452716.35,20434802.76
Employment - Federal Civilian,United States,2729000,2816000,2821000,2795000,2788000,2783000,2781000,2817000,2884000,3035000,2917000,2875000,2826000,2792000,2810000,2847000,2857000,2849000,2878000,2982000,2938000,2929000,2989000,3027275.661,3112066.506,3105338.326,3151181.775,3145036.415,3137870.666,3135825.289,3131460.1,3138555.692,3135164.421,3129307.487,3128604.402,3134271.65,3135219.341,3136499.159,3140386.169,3144999.815,3148167.334,3150668.348,3157235.616,3160588.764,3164318.054,3166986.447,3169153.63,3170939.69,3171870.21,3172826.509,3171044.475,3170194.11,3172010.092,3169025.302,3169045.156,3167656.407,3166149.822,3164487.303,3162624.573,3160445.051
Employment - Federal Military,United States,2071000,2097000,2110000,2082000,2026000,2040000,2042000,2079000,2092000,2100000,2081000,2056000,2032000,1975000,1957000,1978000,1985000,1898000,1905000,1913000,1929000,1869000,1805000,1838479.139,1955844.781,2027468.819,2028798.834,2013138.942,1999316.401,1988958.236,1978573.095,1973635.556,1969063.859,1964006.673,1959454.13,1957290.786,1952316.833,1947030.64,1942332.057,1937224.854,1930843.021,1923556.069,1917488.604,1909892.653,1902487.782,1894633.85,1886571.343,1878327.404,1869658.12,1860992.749,1851181.757,1841892.084,1833827.629,1823718.206,1814986.629,1805701.053,1796438.781,1787183.851,1777901.957,1768535.764
Employment - Farm,United States,3063000,2904000,2838000,2719000,2656000,2579000,2665000,2629000,2624000,2636000,2639000,2623000,2648000,2649000,2651000,2644000,2622000,2617000,2586000,2577000,2573000,2623000,2643000,2695175.845,2754672.586,2769856.794,2762083.9,2756609.963,2743877.902,2730483.754,2719538.239,2704135.293,2692650.954,2688418.468,2683073.26,2675311.883,2668839.468,2662828.644,2655825.39,2647558.049,2639371.958,2630901.225,2620739.12,2610509.542,2599672.346,2588664.042,2577246.767,2565203.824,2552432.553,2539044.694,2526112.886,2512920.134,2498974.73,2485986.192,2472040.329,2458301.922,2444507.219,2430644.923,2416681.77,2402529.878
Births,United States,4047314.01,4006985.03,4052799.025,4112637.096,4121160.009,4178112.976,4307550.88,4309900.113,4192592.877,4150272.895,3973485.012,3936976.087,3940576.004,3963194.996,3992376.011,3970959.127,3890144.114,3835476.976,3770397.143,3748000.1,3584459.088,3679253.907,3653356.002,3706792.462,3761434.636,3800582.18,3829859.365,3851462.377,3868687.688,3884067.386,3897802.636,3910465.058,3922024.094,3932291.712,3941221.987,3948214.286,3952523.3,3953973.74,3952525.489,3948105.71,3940857.264,3931781.655,3921794.489,3911630.554,3901814.742,3892709.287,3884689.58,3877849.651,3872190.662,3868129.488,3865734.48,3865364.952,3867138.238,3871455.537,3878253.304,3887420.675,3898564.252,3911205.633,3924957.447,3939305.62
Deaths,United States,2419130.786,2430224.995,2422431.003,2449070.896,2432480.891,2418569.001,2427614.986,2438644.992,2439233.997,2491015.999,2512442.011,2501530.895,2608019.108,2582448.006,2699825.907,2703214.888,2788162.995,2839277.002,2847281.983,3070858.993,3438422.895,3456087.287,3148861.016,3220101.984,3264525.444,3310901.471,3357256.787,3406574.4,3457699.046,3507903.72,3560203.826,3612420.235,3664079.768,3713196.703,3764114.098,3812610.067,3858696.342,3902731.294,3942948.631,3980014.45,4014479.143,4043614.228,4070279.544,4092386.895,4110884.063,4125585.816,4134394.692,4143005.507,4146389.153,4146684.15,4144167.015,4138697.941,4132717.743,4125446.329,4116587.63,4107249.325,4098704.174,4089887.471,4082273.179,4076495.277
Total Migrants,United States,1173752.029,1051264.008,795360.016,959123.016,921225.99,979817.001,839834.999,823734.993,725530.006,735267.998,795295.013,858736.015,849728.012,945635.002,1060115.036,1065016.968,948391.998,719871.006,568639.027,477029.007,376008.004,999267.097,1138988.914,2786119,2009997,1562448,1264845,1067294,1069731,1072202,1074682,1077176,1079653,1082168,1084693,1087264,1089796,1092332,1094937,1097512,1100088,1102695,1105317,1107985,1110628,1111183,1111656,1112071,1112427,1112721,1112981,1113173,1113324,1113478,1113612,1113732,1113869,1113980,1114087,1114205
Population,United States,284931709.1,287591012.6,290079622,292776175.9,295489103,298360248.4,301209690.2,304067012.6,306739229.9,309333899.1,311796037.9,314305943.9,316694712.5,319225418.2,321777220.2,324308489.4,326559662.7,328483738.3,330176743.3,331474058.9,331994517.7,333232714.9,334897656.8,338170489.5,340677395.7,342729524.4,344466972,345979153.9,347459873.6,348908239.2,350320520.1,351695740.9,353033338.2,354334601.2,355596402.1,356819270.3,358002893.3,359146467.7,360250981.6,361316584.8,362343051,363333913.4,364290745.3,365217974,366119532.7,366997839.1,367859790,368706705.2,369544933.7,370379100,371213648.5,372053488.5,372901233,373760720.2,374635997.9,375529901.2,376443630.3,377378928.5,378335699.7,379312715.1
