Category,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Employment - Real estate and rental and leasing,Seattle Region,87081.998,87436.001,93243.998,100449.998,108339.002,114129.999,119999.998,118032.003,112786,113427.002,114442.998,112527.002,114597.003,119073.997,122925.998,126560.003,131534.998,135214.998,129123.001,135470.001,146147.997,147714.001,152944.999,154076.631,159159.299,160714.976,161809.551,163599.424,165844.218,168107.92,170348.913,172412.403,174655.329,176356.347,178142.144,179743.118,181382.865,182920.164,184432.122,186039.329,187775.614,189501.493,191218.404,193035.886,194967.996,197003.784,199125.283,201290.134,203512.283,205832.888,208234.999,210650.937,213184.063,215828.527,218486.335,221243.619,224003.417,226734.735,229455.364,232106.793
"Employment - Professional, scientific, and technical services",Seattle Region,163428.996,156032.997,156072.998,161712.002,167174.004,173745.995,188823.008,196400.003,190150.999,192040.996,194719.007,199388.994,205918.999,213192.999,221363.998,228684.995,237947.001,244885.996,246055.995,245959.998,261225,281666.996,281565.001,280240.44,287888.561,292796.763,295812.296,299447.985,303341.278,307423.503,311482.714,315656.903,320451.305,323906.972,327826.84,331462.671,334738.402,337546.556,340446.584,343467.318,346583.597,349649.748,352857.214,356114.901,359489.206,362938.062,366450.908,369992.444,373562.357,377242.103,380941.712,384671.638,388609.913,392538.24,396548.532,400627.185,404730.327,408835.939,412957.339,417056.384
Employment - Management of companies and enterprises,Seattle Region,23770.999,25044.999,26341.999,26823,27826.999,28123.001,28901.999,29570,27375.001,26735.999,27806.001,30291,31955.001,33435.001,35365.001,37324.001,37134.001,38368.999,38444.999,37128,37000.999,93578,39036.001,39011.861,40224.31,40883.567,41367.838,41894.505,42440.059,42981.297,43506.749,44034.671,44591.357,45058.629,45582.566,46090.643,46602.594,47106.583,47609.045,48110.082,48617.606,49120.139,49617.169,50116.097,50617.116,51120.421,51623.449,52122.122,52615.534,53110.671,53609.647,54108.78,54615.426,55128.047,55638.092,56154.419,56672.792,57192.362,57713.376,58232.865
"Employment - Administrative, support, waste management, and remediation services",Seattle Region,108131.002,106099.997,107752.996,115813.997,121251.002,129303,135192.001,130525.004,117935.004,117738.002,120099.997,122991.003,125892.997,128836.002,132211,136589.002,140818.003,143359.998,145647.003,135697.997,142020.995,146845.002,148244.995,148120.738,151592.838,152795.538,153973.995,155811.051,157886.374,159956.602,161988.534,163980.066,166662.534,168011.092,169990.505,171834.583,173702.265,175403.999,177157.069,179020.648,181006.266,182984.465,184975.128,187061.808,189222.891,191455.366,193739.994,196051.136,198401.357,200829.356,203319.96,205804.326,208389.283,211058.843,213719.511,216457.669,219212.085,221972.121,224749.802,227519.674
Employment - Educational services; private,Seattle Region,35819.999,36656,39015,40504.999,40290,42064,42775.999,44595.999,45038.999,46356.002,46774.002,47856.002,49946.001,52096.999,53327.999,53118.001,54321,54152,55645.999,50202,50646.001,52515.001,53647.999,54396.492,55400.701,55790.704,56150.635,56944.28,57823.375,58662.475,59457.255,60171.181,60869.21,61553.764,62209.86,62820.308,63426.948,63971.682,64517.168,65070.148,65632.746,66146.858,66642.681,67126.342,67585.613,68013.18,68433.138,68865.548,69303.164,69786.446,70300.88,70830.141,71412.666,72023.591,72670.301,73368.101,74082.945,74790.212,75482.536,76150.529
Employment - Health care and social assistance,Seattle Region,179039,183890,187641.001,190749.999,195118.997,200609,207534.999,215082,220433,222310.999,226570.999,255883.998,259982.998,265312.001,264717,272467,276786.997,285381.999,290797.004,284179,291945.001,292014.997,299384,304454.073,315110.647,320773.374,324645.49,328764.972,333671.484,338988.147,344448.779,349561.691,354538.21,359077.345,363441.829,367330.877,370927.782,374118.66,377381.036,381245.289,385289.128,389253.8,393271.993,397581.7,402037.442,406530.169,411096.013,415653.991,420376.755,425461.337,430695.086,435897.769,441306.862,446800.198,452243.887,457705.306,463093.122,468413.099,473722.993,478972.571
"Employment - Arts, entertainment, and recreation",Seattle Region,48681.001,50180.001,51365,53716.999,54364,55150,58126,60108,58907,58884.999,59959,60599.001,61074.001,63471,63417.001,66969.001,70701,73140.998,72739,56389.999,59878.001,67718.001,70070,71306.03,73202.409,74039.091,74587.823,75606.155,76748.781,77868.817,78960.411,79968.747,81051.621,81880.624,82710.062,83420.24,84091.149,84685.372,85303.251,85980.477,86711.531,87429.311,88153.975,88909.908,89719.474,90570.116,91456.224,92352.406,93261.889,94208.252,95168.25,96131.8,97153.677,98200.204,99266.118,100369.417,101469.636,102554.455,103642.306,104700.041
Employment - Accommodation and food services,Seattle Region,133451,129833.999,132983.005,135656.999,140575,145669.002,150156.001,151232.995,143535.003,143004.996,146782.999,151367.005,158412.999,166085.003,173721.999,179576.996,185822.998,191018.997,192942.997,146036.002,152322.998,172215.002,184064.999,178935.14,183619.416,184889.136,185510.5,187345.492,189654.695,191961.904,194306.892,196448.778,198644.777,200747.035,202807.178,204730.991,206825.207,208867.99,210914.221,213067.937,215383.173,217694.236,219978.498,222392.336,224922.255,227572.553,230328.071,233154.345,236081.109,239145.399,242357.477,245609.415,249007.884,252591.21,256195.852,259956.874,263758.197,267574.865,271410.671,275207.142
Employment - Other services (except public administration),Seattle Region,111389,114319.001,113624.999,115217.001,115224.999,116279.001,119695.001,118832,115982,113423.002,117179.001,121092.001,122903.999,126850.999,131067.002,133311.001,135011.001,140010.001,140452.001,125305.999,124362.999,126139.001,132701.003,135244.238,139526.637,139482.527,140806.26,142349.764,144222.053,146105.219,147986.515,149714.979,151542.043,153143.45,154702.976,156039.415,157317.11,158437.446,159623.117,160934.118,162356.126,163783.004,165234.771,166757.998,168392.503,170107.527,171899.51,173720.599,175595.882,177568.604,179619.363,181660.875,183831.448,186064.761,188324.237,190645.134,192956.017,195229.693,197505.231,199729.76
Employment - State and Local Government,Seattle Region,222809.007,228852.999,229448.997,230802.004,232952.992,234816.008,237089.998,242988.006,244318.996,243458.994,241038,238515.996,239482.002,243327.997,247619.007,252962.996,257974.001,262988.997,267039.999,258630.997,255172.004,255821.996,266203.002,266099.451,268241.641,269704.732,270069.81,271428.271,273173.366,275343.97,277808.888,280182.752,282341.09,284565.468,286703.847,288922.646,290739.775,292348.873,293950.563,295546.653,297109.298,298615.999,300287.838,301880.273,303589.657,305344.157,307163.819,309027.524,310908.009,312879.284,314812.793,316839.422,319064.853,321136.526,323368.239,325569.826,327767.022,329931.209,332051.076,334102.036
