county_id,age_group,year,headship_rate,rolling_avg
53033.0,ages_0_14,2024,0,0
53033.0,ages_15_24,2024,0.1480608303830061,0.16481729549744584
53033.0,ages_25_34,2024,0.5078008949792038,0.5070583628171182
53033.0,ages_35_44,2024,0.5364160706806078,0.5435837801954189
53033.0,ages_45_54,2024,0.5685219911939058,0.5646083035043167
53033.0,ages_55_64,2024,0.5673676121001684,0.5727988695468544
53033.0,ages_65_74,2024,0.6047434269800966,0.5982885092178201
53033.0,ages_75_84,2024,0.5875388628466374,0.6278210804621785
53033.0,ages_85_plus,2024,0.6834817970565453,0.6643108435668544
53035.0,ages_0_14,2024,0,0
53035.0,ages_15_24,2024,0.1670425898898766,0.15513267526285182
53035.0,ages_25_34,2024,0.4520599351328169,0.4434012510982841
53035.0,ages_35_44,2024,0.5173570309439874,0.5153041549970121
53035.0,ages_45_54,2024,0.5222266988987376,0.5188814894148946
53035.0,ages_55_64,2024,0.535944886429148,0.5527854829177802
53035.0,ages_65_74,2024,0.6027373274579041,0.6026843714245714
53035.0,ages_75_84,2024,0.618304535637149,0.6115360518308949
53035.0,ages_85_plus,2024,0.6620839363241678,0.690913919025474
53053.0,ages_0_14,2024,0,0
53053.0,ages_15_24,2024,0.13920504614813783,0.138418883851741
53053.0,ages_25_34,2024,0.42888062964582424,0.4474463063413059
53053.0,ages_35_44,2024,0.5436786593554163,0.5237950848367044
53053.0,ages_45_54,2024,0.5521620081959682,0.5511794274429004
53053.0,ages_55_64,2024,0.5769495068766272,0.5940090608196952
53053.0,ages_65_74,2024,0.6231773091171139,0.5982694996408306
53053.0,ages_75_84,2024,0.628134786421145,0.6325157821593813
53053.0,ages_85_plus,2024,0.6970856835885039,0.7156577968459438
53061.0,ages_0_14,2024,0,0
53061.0,ages_15_24,2024,0.08850067191399501,0.08560316870714353
53061.0,ages_25_34,2024,0.4214206437291898,0.42323433756488466
53061.0,ages_35_44,2024,0.5171014035414859,0.5147217293057278
53061.0,ages_45_54,2024,0.5218203335922187,0.5477668627575634
53061.0,ages_55_64,2024,0.5734469966058884,0.5627739586047841
53061.0,ages_65_74,2024,0.5881052941754248,0.5847255902735252
53061.0,ages_75_84,2024,0.5962908633696563,0.6011485225827075
53061.0,ages_85_plus,2024,0.6606283363962545,0.5930383773725441
