county_id,age_group,headship_rate_2000,headship_rate_2010,headship_rate_2020,hhpop,hh_2000,hh_2010,hh_2020
53033,age_0_14,0,0,0,372145,0,0,0
53033,age_15_24,0.19004100088132736,0.16384212455002048,0.1560064072573291,239850,45581.33406138637,39297.53357332241,37418.13678067038
53033,age_25_34,0.5044031479581649,0.48532631367894785,0.4847090999502735,408213,205903.92223744636,198116.51048582434,197864.5558
53033,age_35_44,0.5574910862770728,0.5526374982107681,0.5375115812007619,355612,198250.5201731624,196524.52601372768,191145.56841396535
53033,age_45_54,0.5948123149839083,0.5821869169289036,0.5621433484375594,291274,173253.3622346229,169575.91204154945,163737.74167280167
53033,age_55_64,0.6191207317864326,0.605494179,0.5786469868508681,255248,158029.32854702335,154551.17825726655,147698.4860997104
53033,age_65_74,0.6253455072726449,0.6319737669571467,0.6065553969474031,184237,115211.78022339028,116432.95090288384,111749.9466673987
53033,age_75_84,0.6967958584021268,0.6822834264311776,0.6349495464646097,81436,56744.267524835595,55562.43311484937,51707.75126589195
53033,age_85_plus,0.7681924882629108,0.7541208791208791,0.7107416462917685,33599,25810.49941314554,25337.707417582416,23880.20857375713
53035,age_0_14,0,0,0,45772,0,0,0
53035,age_15_24,0.16734763948497855,0.1490284195202228,0.13198414760914762,30064,5031.139433476395,4480.390404455979,3967.971413721414
53035,age_25_34,0.4889754025836135,0.4565576255769296,0.41964789678806613,39109,19123.33901964254,17855.51217868814,16412.00959548448
53035,age_35_44,0.5371360357087248,0.5269112330968001,0.4975534073278434,35781,19219.26449369388,18853.410831436606,17802.958467597564
53035,age_45_54,0.5672551252847381,0.5598498866331344,0.5310002577984017,30422,17257.035421412304,17031.753251153215,16154.089842742975
53035,age_55_64,0.6099389802461475,0.5827954532472726,0.5684542754084447,36677,22370.73197848795,21375.188838750215,20849.197459155526
53035,age_65_74,0.6286851295378868,0.6344809322033899,0.6031454946694433,32066,20159.417363761877,20345.26557,19340.46343207037
53035,age_75_84,0.6984511132623427,0.6933115823817292,0.6474759530997684,15037,10502.609390125846,10425.326264274061,9736.095906761217
53035,age_85_plus,0.733578131,0.759315978,0.7139705882352941,4205,3084.6960424316603,3192.9236855538543,3002.2463235294117
53053,age_0_14,0,0,0,179315,0,0,0
53053,age_15_24,0.16915868227077324,0.14394718226833295,0.12202464868798035,107373,18163.075191459735,15456.040801697713,13102.152603574514
53053,age_25_34,0.497748167,0.47010777188743214,0.4344004974369863,138518,68947.08052887098,65118.38834630333,60172.28810397646
53053,age_35_44,0.544254848,0.5377769005930395,0.5113779467558615,130490,71019.81517912174,70174.50775838572,66729.70827217236
53053,age_45_54,0.5847254855467655,0.5687562461028589,0.5436451909676362,108255,63299.45744,61570.707421864994,58852.31014820145
53053,age_55_64,0.607256873,0.5909649968420703,0.5673711381075295,109275,66357.99478264042,64577.70002991723,61999.481116700284
53053,age_65_74,0.6397438988454017,0.629874847,0.6024434134338773,81620,52215.89702376169,51410.38500653784,49171.43140447306
53053,age_75_84,0.6967033891178201,0.6934663975480302,0.6373366013071895,36448,25393.44512656631,25275.463257830605,23229.644444444442
53053,age_85_plus,0.7862348178137651,0.7493711641010162,0.6998871149814546,11861,9325.531174089068,8888.291377402153,8301.361070795034
53061,age_0_14,0,0,0,155087,0,0,0
53061,age_15_24,0.14535036190076575,0.11324152079968572,0.096906369,91777,13339.820164166578,10392.967054432756,8893.775872420658
53061,age_25_34,0.4790133097532126,0.44244230868068046,0.4071669339828975,121023,57971.62778626305,53545.69552346199,49276.563851412204
53061,age_35_44,0.5472080300221549,0.5287493568648008,0.5073563600132847,126895,69437.96296966134,67095.64964,64380.985303885755
53061,age_45_54,0.5774241913550832,0.5701180712669683,0.5381870899112279,106369,61420.03381024884,60642.889122596156,57246.422566767396
53061,age_55_64,0.6004312668463612,0.5904273708052691,0.5689294894317363,106840,64150.076549865225,63081.260296834946,60784.42665
53061,age_65_74,0.6163451420554191,0.6239453298465486,0.5921084845352411,74677,46026.80617327253,46594.36539695071,44216.8853
53061,age_75_84,0.6913344603806512,0.676046512,0.6311794348408497,30057,20779.43987566123,20319.93,18971.360273011418
53061,age_85_plus,0.7056950168602473,0.7294718153573013,0.6660661799563857,11383,8032.926376920194,8303.577674212162,7581.831326443539
